,graph,N1,N2,QID,core Value,Query Limit,Total Queries,Degree,Overtime,Min Time,Max Time,Time
0,ego-facebook,9,12,69,10,100,100,7,0,11630047,11776963,"11,852,601"
1,ego-facebook,9,12,133,15,100,100,9,0,189787,321711,"507,058"
2,ego-facebook,9,12,1095,20,100,100,8,0,18765074,18971530,"19,187,085"
3,ego-facebook,9,12,27,5,100,100,5,0,19568916,19724562,"19,890,028"
4,government,9,12,7034,10,100,100,7,0,5639565,6103921,"6,341,956"
5,government,9,12,3065,15,100,100,10,0,215951,368990,"470,736"
6,government,9,12,4467,20,100,100,9,0,367977,532259,"583,288"
7,government,9,12,6637,5,100,100,5,0,164925747,165152354,"165,199,949"
8,orani,9,12,786,10,100,100,9,0,787340,1611406,"1,668,964"
9,orani,9,12,607,15,100,100,10,0,3803395,4614384,"4,727,310"
10,orani,9,12,816,20,100,100,10,0,5158796,5974962,"6,037,207"
11,orani,9,12,2307,5,100,100,4,0,151675585,152160753,"152,189,865"
